aid,depth,dropout,ffn_num_layers,linked_hidden_size,auc
1,5,0.05,2,2200,0.899938074
3,6,0,3,2100,0.853500447
5,5,0.15,2,1800,0.84994717
7,6,0,1,2000,0.921490273
9,5,0.1,1,1700,0.939749109
11,5,0.05,2,2300,0.706296296
13,6,0.1,3,1900,0.827508096
15,3,0,3,1900,0.855916333
17,3,0.2,2,1400,0.805
19,6,0,3,900,0.854155844
21,6,0.05,3,2100,0.919696205
23,3,0.2,2,1400,0.836790911
25,6,0,3,2000,0.899941604
27,5,0.15,1,1800,0.816616162
29,3,0,3,2000,0.857270956
31,5,0.1,1,1700,0.890425833
33,5,0.05,2,2200,0.951553025
35,5,0.05,2,700,0.921246925
37,6,0.1,3,1100,0.884190173
39,5,0.05,2,2200,0.904196885
41,6,0.35,3,2000,0.854271558
43,5,0.1,1,2300,0.921692864
45,5,0.05,2,2200,0.900402766
47,6,0,3,2100,0.850142105
49,6,0.1,3,1100,0.809293799
51,5,0.1,1,1700,0.697142857
53,5,0.1,3,1100,0.924223209
55,6,0.05,3,2100,0.91294659
57,6,0.3,1,1100,0.837902838
59,3,0.05,3,1100,0.889540763
61,3,0.15,3,2000,0.849393939
63,5,0.05,2,2200,0.72034188
65,5,0.05,2,2200,0.904424608
67,6,0,3,2400,0.888891028
69,5,0,2,1100,0.850505051
71,6,0.1,3,1100,0.84564483
73,5,0.25,2,800,0.869986792
75,6,0.25,1,1100,0.863636364
77,5,0.25,2,800,0.879293527
79,6,0.05,3,2100,0.815911806
83,6,0.1,3,1100,0.828176609
85,3,0.05,3,1500,0.798091328
87,6,0.1,3,400,0.664961356
89,5,0.1,1,1900,0.874775275
91,3,0.05,3,1500,0.915532421
93,6,0.15,3,1100,0.795946137
95,5,0.15,1,1600,0.929721478
97,5,0.05,2,2200,0.788970207
99,5,0.1,1,1700,0.917525433
101,6,0,1,2000,0.866241963
103,5,0.05,2,2200,0.944275062
105,4,0.15,2,2300,0.782272508
107,6,0.05,3,2100,0.90617145
109,6,0.15,1,2000,0.851946572
111,6,0.3,1,400,0.783333333
113,6,0.05,3,2100,0.818503632
115,6,0,3,900,0.754823848
119,5,0.05,2,2200,0.774373938
121,6,0.1,1,2300,0.848607848
123,5,0.05,2,2200,0.83062512
125,3,0.05,3,1500,0.690545231
127,2,0,2,2000,0.866666667
129,4,0.2,1,1600,0.90245478
131,4,0.1,3,1200,0.764414709
133,3,0.05,3,2000,0.805193705
137,2,0.25,3,600,0.88020283
139,6,0,3,2400,0.72939765
141,6,0,2,2000,0.850244898
143,5,0.05,2,2200,0.925034965
145,6,0,3,900,0.91592195
155,5,0.1,1,1700,0.750820959
157,3,0,3,1100,0.775909795
161,3,0.05,3,1500,0.775041018
165,3,0.05,3,1500,0.748565374
167,6,0.15,3,1100,0.741693547
175,3,0.05,3,1500,0.738279111
328,3,0.3,2,2400,0.836464646
330,6,0,3,2100,0.83600713
410,4,0.35,3,300,0.820727513
450,5,0.05,2,2200,0.707692308
884,6,0,3,900,0.863793979
899,5,0.25,2,800,0.693409091
1030,5,0.1,1,1200,0.734854245
1460,5,0.15,1,1600,0.851982906
1578,3,0.3,1,2000,0.747957516
1813,6,0.25,1,1100,0.710526316
1851,6,0.3,3,500,0.751111111
2275,4,0.2,1,1600,0.58186853
2313,5,0.05,2,2200,0.64505698
2314,5,0.25,2,800,0.812878788
2330,6,0,3,2400,0.78641518
2551,5,0.05,2,2200,0.776913696
2732,5,0.25,2,800,0.588461538
463190,6,0,2,1900,0.538803366
485346,6,0,1,2000,0.585616185
488899,6,0.25,1,1100,0.655172414
504332,6,0.25,1,1100,0.861111111
504444,6,0,3,2400,0.798945604
504558,3,0.2,2,1400,0.667789969
504749,3,0.2,2,1400,0.7
504834,6,0,3,2400,0.603318591
504847,4,0.15,2,500,0.889350105
540276,4,0.4,1,1700,0.801587302
588405,5,0.05,2,700,0.722018849
588850,6,0.1,3,1100,0.790733001
588855,6,0.25,1,1100,0.736
602281,3,0.1,3,1300,0.9504707
624296,6,0.05,3,2100,0.657617223
624297,5,0.05,2,700,0.815112934
624352,5,0.1,1,1700,0.742347365
651633,4,0.1,2,1100,0.775367965
651634,6,0.35,3,2400,0.818546366
651635,6,0.25,1,1100,0.453125
651661,6,0.05,3,2100,0.942907088
651741,4,0.4,1,1700,0.85
651820,6,0.25,1,1100,0.462962963
652054,6,0.25,1,1100,0.556451613
652154,6,0.25,1,1100,0.659090909
686971,6,0.25,3,800,0.794737804
686979,6,0,1,2000,0.780514657
720532,3,0.05,3,1500,0.801651439
720533,5,0.15,1,1600,0.79774359
720552,6,0.35,3,1100,0.917748918
720579,6,0.25,2,1900,0.850143628
720596,3,0.3,3,2100,0.89826063
720637,2,0.1,3,1100,0.810758637
720692,3,0.05,3,1500,0.865952381
743012,6,0.3,3,400,0.806950549
743014,4,0.4,1,1700,0.749329004
743015,6,0.1,1,2300,0.725006105
743035,5,0.4,1,1400,0.925816993
743036,6,0.25,1,1100,0.684210526
743040,5,0.05,2,2200,0.953210678
743042,3,0.05,3,1500,0.767380952
743063,4,0.2,1,1600,0.869820876
743064,5,0.4,1,1400,0.85126419
743065,5,0.05,2,700,0.748831628
743075,6,0,3,2400,0.785206098
743079,6,0,3,2400,0.809868421
743080,3,0.3,2,2200,0.746867168
743194,6,0.25,1,1100,0.823529412
743219,3,0,3,2400,0.549619155
743224,6,0.05,2,600,0.744682018
743279,5,0.05,2,2200,0.709903401
1159521,6,0.25,1,1100,0.814814815
1159524,6,0,3,2000,0.858782051
1159529,6,0.25,1,2000,0.791578947
1159555,6,0.25,1,1100,0.473684211
1159606,3,0.05,3,1500,0.815515946
1224839,4,0.4,1,1700,0.806190476
1224841,5,0.1,1,1700,0.834985994
1224844,4,0.15,2,1900,0.699962406
1224847,6,0.25,1,1100,0.761904762
1224848,6,0,1,1100,0.851456828
1224871,5,0.05,2,2200,0.642558193
1224874,5,0.25,2,800,0.867192982
1224879,6,0.25,1,1100,0.5
1224881,2,0.25,3,1900,0.602631579
1224883,6,0.25,1,1100,0.25
1224886,4,0.25,3,2100,0.872046784
1224889,6,0.25,1,1100,0.842105263
1259243,6,0.25,1,1100,0.505882353
1259248,6,0.25,1,1100,0.526315789
1259369,5,0.05,2,2200,0.771046335
1259380,5,0.4,1,1400,0.811664087
1259381,6,0.25,1,1100,0
1259382,4,0.4,1,1700,0.818333333
1259415,2,0.25,3,2400,0.538922231
1259416,3,0,3,900,0.730952381
1259421,5,0.3,2,600,0.602136752
1259422,6,0.25,1,1100,0.5
1296008,5,0.05,2,700,0.800700478
1296009,6,0.25,3,2000,0.795194446
1345082,2,0.3,3,2400,0.927781513
1345083,3,0.3,3,2400,0.95702381
1345084,6,0,3,2400,0.811202111
1345199,2,0.35,3,2300,0.631964286
1346798,6,0.25,1,1100,0.333333333
1346799,6,0.25,1,1100,0
1346979,6,0.1,3,600,0.789725949
1346982,3,0.25,3,1900,0.705427994
1346986,4,0.2,1,1600,0.871924824
1346987,4,0.05,3,2300,0.846481852
1347032,6,0.25,1,1100,0
1347060,2,0.3,3,2300,0.876666667
1347064,4,0.35,3,300,0.9
1347065,2,0.35,3,1200,0.743333333
1347067,2,0.35,3,1100,0.793333333
1347075,4,0.2,1,1600,0.794376688
1347076,5,0.05,2,2200,0.897784772
1347083,6,0.25,1,1100,0.579710145
1347085,6,0.25,1,1100,0.541666667
1347092,6,0,3,2100,0.743571429
1347093,6,0.1,3,400,0.806666667
1347097,6,0.25,1,1100,0.333333333
1347100,2,0.4,3,2300,0.76547619
1347101,5,0.1,1,1700,0.783333333
1347103,3,0.25,1,1200,0.666666667
1347131,6,0.25,1,1100,0.522727273
1347159,5,0.05,2,2200,0.918342044
1347160,6,0.25,3,400,0.798529603
1347417,6,0,2,500,0.857595738
1645841,6,0,3,2400,0.693333333
1645855,6,0.25,1,1100,0.666666667
1645860,6,0.25,1,1100,0.571428571
1645876,6,0.1,3,2000,0.871584727
1671190,6,0.25,1,1100,0.923076923
1671193,6,0.25,1,1100,0.846938776
1671196,5,0.1,1,1700,0.599228758
1671197,4,0.1,1,1200,0.734029912
1671198,3,0.1,3,1900,0.814579865
1671199,6,0.25,1,1100,0.285714286
1671201,6,0.3,1,400,0.840114469
1745845,6,0.15,1,2000,0.744305556
1745853,5,0.25,2,800,0.873135881
1794795,4,0.15,2,1100,0.701152174
